2019-03-22 11:28:59,377 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.myproject:spring5:1.0.0-BUILD-SNAPSHOT @ D:\workspace\MyProjectSpring5\SpringVersion5\pom.xml.
2019-03-22 11:29:05,184 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:29:05,196 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-22 11:29:05,209 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:29:05,215 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-22 11:29:06,235 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.myproject:spring5:1.0.0-BUILD-SNAPSHOT @ D:\workspace\MyProjectSpring5\SpringVersion5\pom.xml.
2019-03-22 11:29:13,693 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:29:13,700 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-22 11:29:13,709 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:29:13,713 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-22 11:30:44,784 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.myproject:myProject:1.0.0-BUILD-SNAPSHOT @ D:\workspace\MyProjectSpring5\SpringVersion5\pom.xml.
2019-03-22 11:30:44,951 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for junit:junit:jar:4.12 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-22 11:30:45,128 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for junit:junit:jar:4.12 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-22 11:30:45,973 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:30:45,978 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
